species_name,jetz_scientific_name
Ptilinopus regina,Ptilinopus_regina
Treron psittaceus,Treron_psittaceus
Trugon terrestris,Trugon_terrestris
Turacoena modesta,Turacoena_modesta
Chalcophaps indica,Chalcophaps_indica
Chalcophaps longirostris,Chalcophaps_indica
Paraclaravis geoffroyi,Claravis_godefrida
Columba eversmanni,Columba_eversmanni
Columbina buckleyi,Columbina_buckleyi
Columbina cruziana,Columbina_cruziana
Columbina cyanopis,Columbina_cyanopis
Ducula lacernulata,Ducula_lacernulata
Geopelia humeralis,Geopelia_humeralis
Geotrygon caniceps,Geotrygon_caniceps
Geotrygon leucometopia,Geotrygon_caniceps
Zentrygon linearis,Geotrygon_linearis
Geotrygon mystacea,Geotrygon_mystacea
Geotrygon violacea,Geotrygon_violacea
Goura sclaterii,Goura_scheepmakeri
Goura scheepmakeri,Goura_scheepmakeri
Leptotila conoveri,Leptotila_conoveri
Leptotila megalura,Leptotila_megalura
Macropygia unchall,Macropygia_unchall
Metriopelia aymara,Metriopelia_aymara
Nesoenas picturatus,Nesoenas_picturata
Otidiphaps nobilis,Otidiphaps_nobilis
Otidiphaps cervicalis,Otidiphaps_nobilis
Ptilinopus cinctus,Ptilinopus_cinctus
Ptilinopus iozonus,Ptilinopus_iozonus
Ramphiculus marchei,Ptilinopus_marchei
Treron curvirostra,Treron_curvirostra
Treron fulvicollis,Treron_fulvicollis
Treron griseicauda,Treron_griseicauda
Turtur abyssinicus,Turtur_abyssinicus
Zenaida auriculata,Zenaida_auriculata
Caloenas nicobarica,Caloenas_nicobarica
Paraclaravis mondetoura,Claravis_mondetoura
Columba albitorques,Columba_albitorques
Columba delegorguei,Columba_delegorguei
Columbina passerina,Columbina_passerina
Columbina squammata,Columbina_squammata
Columbina talpacoti,Columbina_talpacoti
Ducula poliocephala,Ducula_poliocephala
Zentrygon lawrencii,Geotrygon_lawrencii
Geotrygon saphirina,Geotrygon_saphirina
Leptotila rufaxilla,Leptotila_rufaxilla
Leptotila verreauxi,Leptotila_verreauxi
Macropygia emiliana,Macropygia_emiliana
Macropygia ruficeps,Macropygia_ruficeps
Patagioenas plumbea,Patagioenas_plumbea
Ramphiculus merrilli,Ptilinopus_merrilli
Ptilinopus perlatus,Ptilinopus_perlatus
Ptilinopus temminckii,Ptilinopus_superbus
Ptilinopus superbus,Ptilinopus_superbus
Streptopelia lugens,Streptopelia_lugens
Streptopelia turtur,Streptopelia_turtur
Turtur chalcospilos,Turtur_chalcospilos
Turtur tympanistria,Turtur_tympanistria
Uropelia campestris,Uropelia_campestris
Chalcophaps stephani,Chalcophaps_stephani
Columba elphinstonii,Columba_elphinstonii
Columba iriditorques,Columba_iriditorques
Alopecoenas hoedtii,Gallicolumba_hoedtii
Zentrygon albifacies,Geotrygon_albifacies
Geotrygon versicolor,Geotrygon_versicolor
Metriopelia ceciliae,Metriopelia_ceciliae
Patagioenas araucana,Patagioenas_araucana
Patagioenas caribaea,Patagioenas_caribaea
Patagioenas corensis,Patagioenas_corensis
Patagioenas albilinea,Patagioenas_fasciata
Patagioenas fasciata,Patagioenas_fasciata
Patagioenas goodsoni,Patagioenas_goodsoni
Patagioenas inornata,Patagioenas_inornata
Patagioenas albipennis,Patagioenas_maculosa
Patagioenas maculosa,Patagioenas_maculosa
Patagioenas picazuro,Patagioenas_picazuro
Patagioenas speciosa,Patagioenas_speciosa
Patagioenas squamosa,Patagioenas_squamosa
Phapitreron brevirostris,Phapitreron_leucotis
Phapitreron nigrorum,Phapitreron_leucotis
Phapitreron leucotis,Phapitreron_leucotis
Streptopelia vinacea,Streptopelia_vinacea
Turacoena manadensis,Turacoena_manadensis
Columba pulchricollis,Columba_pulchricollis
Columba torringtoniae,Columba_torringtoniae
Gallicolumba luzonica,Gallicolumba_luzonica
Gallicolumba rufigula,Gallicolumba_rufigula
Henicophaps albifrons,Henicophaps_albifrons
Leptotila jamaicensis,Leptotila_jamaicensis
Leptotila plumbeiceps,Leptotila_plumbeiceps
Megaloprepia magnifica,Ptilinopus_magnificus
Ptilinopus porphyreus,Ptilinopus_porphyreus
Ramphiculus epius,Ptilinopus_subgularis
Streptopelia capicola,Streptopelia_capicola
Streptopelia xanthocycla,Streptopelia_decaocto
Streptopelia decaocto,Streptopelia_decaocto
Treron phoenicopterus,Treron_phoenicopterus
Gallicolumba crinigera,Gallicolumba_crinigera
Alopecoenas jobiensis,Gallicolumba_jobiensis
Zentrygon chiriquensis,Geotrygon_chiriquensis
Macropygia amboinensis,Macropygia_amboinensis
Macropygia phasianella,Macropygia_phasianella
Patagioenas subvinacea,Patagioenas_subvinacea
Ptilinopus coronulatus,Ptilinopus_coronulatus
Ramphiculus leclancheri,Ptilinopus_leclancheri
Ramphiculus occipitalis,Ptilinopus_occipitalis
Streptopelia decipiens,Streptopelia_decipiens
Zentrygon costaricensis,Geotrygon_costaricensis
Leucosarcia melanoleuca,Leucosarcia_melanoleuca
Lopholaimus antarcticus,Lopholaimus_antarcticus
Macropygia nigrirostris,Macropygia_nigrirostris
Macropygia tenuirostris,Macropygia_tenuirostris
Metriopelia melanoptera,Metriopelia_melanoptera
Patagioenas cayennensis,Patagioenas_cayennensis
Phapitreron brunneiceps,Phapitreron_brunneiceps
Ptilinopus melanospilus,Ptilinopus_melanospilus
Starnoenas cyanocephala,Starnoenas_cyanocephala
Spilopelia chinensis,Stigmatopelia_chinensis
Spilopelia suratensis,Stigmatopelia_chinensis
Streptopelia bitorquata,Streptopelia_bitorquata
Streptopelia dusumieri,Streptopelia_bitorquata
Streptopelia hypopyrrha,Streptopelia_hypopyrrha
Streptopelia orientalis,Streptopelia_orientalis
Cryptophaps poecilorrhoa,Cryptophaps_poecilorrhoa
Gallicolumba tristigmata,Gallicolumba_tristigmata
Patagioenas flavirostris,Patagioenas_flavirostris
Patagioenas leucocephala,Patagioenas_leucocephala
Patagioenas nigrirostris,Patagioenas_nigrirostris
Phapitreron amethystinus,Phapitreron_amethystinus
Ptilinopus aurantiifrons,Ptilinopus_aurantiifrons
Streptopelia roseogrisea,Streptopelia_roseogrisea
Hemiphaga novaeseelandiae,Hemiphaga_novaeseelandiae
Leptotila ochraceiventris,Leptotila_ochraceiventris
Reinwardtoena reinwardti,Reinwardtoena_reinwardtsi
Streptopelia semitorquata,Streptopelia_semitorquata
Spilopelia senegalensis,Stigmatopelia_senegalensis
Streptopelia tranquebarica,Streptopelia_tranquebarica
Alectroenas madagascariensis,Alectroenas_madagascariensis
