species_name,jetz_scientific_name
Treron olax,Treron_olax
Turtur afer,Turtur_afer
Ducula aenea,Ducula_aenea
Ducula cuprea,Ducula_badia
Ducula badia,Ducula_badia
Ducula pinon,Ducula_pinon
Ducula zoeae,Ducula_zoeae
Columba livia,Columba_livia
Columba oenas,Columba_oenas
Ducula carola,Ducula_carola
Oena capensis,Oena_capensis
Phaps elegans,Phaps_elegans
Treron delalandii,Treron_calvus
Treron calvus,Treron_calvus
Treron waalia,Treron_waalia
Columba bollii,Columba_bollii
Columba guinea,Columba_guinea
Columbina inca,Columbina_inca
Ducula bicolor,Ducula_bicolor
Ducula radiata,Ducula_radiata
Ducula rosacea,Ducula_rosacea
Treron oxyurus,Treron_oxyurus
Treron vernans,Treron_vernans
Zenaida aurita,Zenaida_aurita
Zenaida meloda,Zenaida_meloda
Columba punicea,Columba_punicea
Columbina picui,Columbina_picui
Ducula forsteni,Ducula_forsteni
Ducula luctuosa,Ducula_luctuosa
Nesoenas mayeri,Nesoenas_mayeri
Treron apicauda,Treron_apicauda
Treron capellei,Treron_capellei
Treron permagnus,Treron_formosae
Treron formosae,Treron_formosae
Treron seimundi,Treron_seimundi
Turtur brehmeri,Turtur_brehmeri
Columba janthina,Columba_janthina
Columba palumbus,Columba_palumbus
Columbina minuta,Columbina_minuta
Geopelia maugeus,Geopelia_maugeus
Geopelia placida,Geopelia_placida
Geopelia striata,Geopelia_striata
Geophaps scripta,Geophaps_scripta
Macropygia magna,Macropygia_magna
Ramphiculus jambu,Ptilinopus_jambu
Ptilinopus nainus,Ptilinopus_naina
Treron bicinctus,Treron_bicinctus
Treron phayrei,Treron_pompadora
Treron axillaris,Treron_pompadora
Treron affinis,Treron_pompadora
Treron pompadora,Treron_pompadora
Treron sieboldii,Treron_sieboldii
Treron sphenurus,Treron_sphenurus
Zenaida asiatica,Zenaida_asiatica
Zenaida macroura,Zenaida_macroura
Aplopelia larvata,Aplopelia_larvata
Claravis pretiosa,Claravis_pretiosa
Columba albinucha,Columba_albinucha
Columba arquatrix,Columba_arquatrix
Columba hodgsonii,Columba_hodgsonii
Columba leucomela,Columba_leucomela
Columba leuconota,Columba_leuconota
Columba rupestris,Columba_rupestris
Columba unicincta,Columba_unicincta
Columba vitiensis,Columba_vitiensis
Ducula rufigaster,Ducula_rufigaster
Ducula spilorrhoa,Ducula_spilorrhoa
Geotrygon chrysia,Geotrygon_chrysia
Zentrygon frenata,Geotrygon_frenata
Geotrygon montana,Geotrygon_montana
Leptotila cassinii,Leptotila_cassini
Leptotila pallida,Leptotila_pallida
Ocyphaps lophotes,Ocyphaps_lophotes
Phaps chalcoptera,Phaps_chalcoptera
