Sequence,Species1,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
590,Columba albitorques,Columbidae,Columbiformes,AVIBASE-DD7C4C78,5,3,2,0,4,21.0,10.5,4.5,5.4,28.7,220.6,97.5,125.5,43.7,106.0,277.0,Dunning,NA,NO,NA,NA,Grassland,2,1,Herbivore,Granivore,Terrestrial,5.98,14.95,9.94,38.63,137598.58
609,Columba argentina,Columbidae,Columbiformes,AVIBASE-036DC7FC,5,2,3,0,4,29.6,13.8,5.9,6.6,29.2,234.6,88.7,146.1,37.8,148.0,330.0,Inferred,NA,YES,Body Mass,Columba pulchricollis,Woodland,2,2,Herbivore,Frugivore,Insessorial,-1.86,2.92,1.52,97.14,5897.60
599,Columba arquatrix,Columbidae,Columbiformes,AVIBASE-EEDB8253,9,4,5,0,4,27.9,12.8,4.3,5.9,28.3,225.4,84.3,143.1,37.1,131.7,400.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-34.84,17.87,-11.67,31.52,1486805.14
596,Columba bollii,Columbidae,Columbiformes,AVIBASE-1ED914E6,5,2,3,0,4,26.7,13.9,5.3,5.9,30.7,214.0,77.0,134.8,36.4,149.0,308.5,EltonTraits_GenAvg,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,27.68,28.85,28.35,-17.07,2531.08
617,Columba delegorguei,Columbidae,Columbiformes,AVIBASE-870E4DDA,9,5,4,0,3,21.3,11.2,3.8,4.7,21.6,173.3,62.1,110.9,35.9,111.0,133.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-31.85,4.54,-8.00,34.99,232244.08
606,Columba elphinstonii,Columbidae,Columbiformes,AVIBASE-5813ADBE,5,3,2,0,4,25.6,12.2,4.9,5.8,26.9,207.6,70.6,138.2,33.8,151.5,379.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,8.28,19.89,13.04,76.17,116434.82
592,Columba eversmanni,Columbidae,Columbiformes,AVIBASE-38AA824B,5,2,3,0,4,18.9,10.6,3.8,3.9,26.4,203.6,97.5,108.8,47.2,96.0,202.0,Dunning,NA,NO,NA,NA,Desert,2,3,Herbivore,Granivore,Terrestrial,35.57,47.40,41.22,73.28,2911677.23
589,Columba guinea,Columbidae,Columbiformes,AVIBASE-A6EA9F02,9,4,5,0,4,25.0,13.3,4.1,4.9,28.8,228.3,93.2,134.2,41.0,117.8,352.0,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Granivore,Terrestrial,-34.84,18.61,1.25,20.51,10557795.16
603,Columba hodgsonii,Columbidae,Columbiformes,AVIBASE-3503F769,5,2,2,1,4,23.2,10.6,4.3,5.2,26.6,226.0,92.8,137.5,40.3,136.6,308.5,EltonTraits_GenAvg,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,18.22,39.37,29.70,98.10,2007983.93
618,Columba iriditorques,Columbidae,Columbiformes,AVIBASE-3FC9BA60,5,2,3,0,4,18.1,9.2,3.1,4.4,20.5,155.6,55.2,100.5,35.6,92.2,125.9,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-13.24,9.61,1.46,13.71,2757795.12
611,Columba janthina,Columbidae,Columbiformes,AVIBASE-E2209F71,4,1,3,0,4,26.6,12.7,4.8,6.0,32.7,237.8,81.3,156.5,34.2,182.0,397.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Granivore,Insessorial,24.25,36.35,30.19,129.21,6158.61
597,Columba junoniae,Columbidae,Columbiformes,AVIBASE-396E6311,4,2,2,0,4,28.3,13.8,5.1,6.2,32.9,219.0,66.0,153.1,30.1,153.2,440.0,Inferred,NA,YES,Body Mass,Columba trocaz,Forest,2,1,Herbivore,Frugivore,Insessorial,27.67,28.84,28.36,-17.57,1210.60
615,Columba leucomela,Columbidae,Columbiformes,AVIBASE-8F3CF81A,5,2,2,1,5,23.7,14.8,5.1,6.3,27.4,229.6,73.9,155.7,32.2,132.2,420.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Omnivore,Insessorial,-38.00,-14.81,-28.79,150.51,275007.14
588,Columba leuconota,Columbidae,Columbiformes,AVIBASE-F5750571,5,3,2,0,4,22.1,11.7,4.1,4.6,29.5,231.6,101.8,127.0,44.5,115.0,284.0,Dunning,NA,NO,NA,NA,Rock,3,1,Herbivore,Granivore,Terrestrial,24.14,50.67,33.65,89.40,2656832.05
586,Columba livia,Columbidae,Columbiformes,AVIBASE-BBA263C2,12,2,8,2,10,23.2,12.1,4.3,5.0,26.5,219.6,98.8,120.4,45.1,105.5,354.2,Dunning,NA,NO,NA,NA,Human Modified,3,1,Herbivore,Granivore,Terrestrial,5.92,62.40,33.52,51.08,17464191.46
619,Columba malherbii,Columbidae,Columbiformes,AVIBASE-E6393B15,5,3,2,0,4,21.1,12.5,4.2,5.1,20.9,173.0,65.0,109.2,37.3,102.8,308.5,EltonTraits_GenAvg,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-1.46,1.70,0.43,6.72,1017.05
591,Columba oenas,Columbidae,Columbiformes,AVIBASE-68E4C0D1,13,7,6,0,4,23.2,11.8,6.8,7.8,26.4,214.8,91.6,124.2,42.5,119.4,290.8,Dunning,NA,NO,NA,NA,Woodland,3,1,Herbivore,Omnivore,Terrestrial,30.60,66.31,50.84,35.32,9272521.23
593,Columba oliviae,Columbidae,Columbiformes,AVIBASE-37B66CCF,5,2,3,0,4,22.8,11.7,3.7,4.2,26.0,201.0,87.5,114.2,43.4,100.4,308.5,EltonTraits_GenAvg,NA,NO,NA,NA,Grassland,2,1,Herbivore,Granivore,Terrestrial,7.94,11.99,10.38,48.95,24568.32
616,Columba pallidiceps,Columbidae,Columbiformes,AVIBASE-3C0E1CD4,1,1,0,0,1,28.4,17.4,7.3,6.1,29.0,232.0,92.0,140.0,39.7,125.0,459.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Omnivore,Insessorial,-10.85,-2.56,-6.19,153.54,51261.27
610,Columba palumboides,Columbidae,Columbiformes,AVIBASE-95059E5A,5,3,2,0,4,32.4,15.4,6.8,6.8,30.5,241.6,83.2,156.8,34.7,146.0,520.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,6.75,14.19,11.22,92.96,7618.24
594,Columba palumbus,Columbidae,Columbiformes,AVIBASE-760F307A,14,7,7,0,4,27.8,13.1,8.0,7.8,31.5,246.4,101.4,145.0,41.2,153.2,490.0,Dunning,NA,NO,NA,NA,Woodland,2,1,Herbivore,Omnivore,Terrestrial,22.61,70.14,50.34,32.15,11947217.36
602,Columba pollenii,Columbidae,Columbiformes,AVIBASE-05BBFC8E,5,2,2,1,4,26.5,13.1,5.2,6.3,25.5,224.6,81.7,145.6,35.9,156.3,308.5,EltonTraits_GenAvg,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-13.00,-11.36,-12.06,43.95,2057.52
605,Columba pulchricollis,Columbidae,Columbiformes,AVIBASE-6E814856,5,2,2,1,4,22.9,10.8,4.3,5.1,25.3,204.2,78.2,127.3,38.0,117.2,330.0,Dunning,NA,NO,NA,NA,Forest,3,1,Herbivore,Frugivore,Insessorial,18.32,30.43,25.51,96.29,565151.19
608,Columba punicea,Columbidae,Columbiformes,AVIBASE-D5C3E9C9,5,2,3,0,4,24.4,11.4,5.1,5.9,26.1,220.0,75.8,140.5,35.0,141.4,434.4,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Terrestrial,11.47,29.36,22.42,87.99,190345.98
587,Columba rupestris,Columbidae,Columbiformes,AVIBASE-BF20B94D,5,2,2,1,4,20.2,11.1,3.9,4.4,27.5,222.8,105.5,111.5,48.6,113.0,245.4,Dunning,NA,NO,NA,NA,Rock,3,1,Herbivore,Granivore,Terrestrial,27.66,61.57,44.45,101.90,11847809.42
600,Columba sjostedti,Columbidae,Columbiformes,AVIBASE-757ABA94,4,2,2,0,4,24.4,10.7,4.4,5.5,24.7,216.8,81.7,135.1,37.7,119.0,308.5,EltonTraits_GenAvg,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,3.29,7.64,6.05,10.44,44188.92
601,Columba thomensis,Columbidae,Columbiformes,AVIBASE-8288E54D,3,1,1,1,3,27.7,13.8,5.6,6.3,27.5,233.3,83.2,150.1,35.6,151.7,428.7,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,0.10,0.34,0.22,6.57,322.72
607,Columba torringtoniae,Columbidae,Columbiformes,AVIBASE-EEEDA1B2,4,2,2,0,4,23.7,11.3,4.8,5.5,25.0,192.2,66.7,125.6,34.6,129.0,308.5,EltonTraits_GenAvg,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,6.20,7.62,6.98,80.77,5001.87
595,Columba trocaz,Columbidae,Columbiformes,AVIBASE-BAAC66AF,5,2,3,0,4,27.7,13.3,6.4,6.6,34.5,235.2,84.5,152.5,35.6,163.4,440.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Generalist,32.63,32.87,32.76,-16.99,549.16
598,Columba unicincta,Columbidae,Columbiformes,AVIBASE-1A145C89,5,2,3,0,4,24.7,12.1,4.4,5.4,26.6,211.2,81.5,130.8,38.4,122.8,389.1,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-11.40,8.67,0.92,16.29,2699737.73
614,Columba vitiensis,Columbidae,Columbiformes,AVIBASE-CE7203C7,5,3,2,0,4,27.4,14.0,5.7,6.4,28.8,216.4,70.3,147.0,32.3,138.0,353.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Omnivore,Insessorial,-22.47,19.58,-1.84,136.13,1128735.55
723,Columbina buckleyi,Columbidae,Columbiformes,AVIBASE-19BFB346,4,3,1,0,4,14.8,8.4,2.5,2.9,16.3,84.8,18.8,66.0,22.2,66.0,57.5,Dunning,NA,NO,NA,NA,Woodland,2,1,Herbivore,Granivore,Terrestrial,-7.03,1.30,-1.85,-79.79,82687.64
726,Columbina cruziana,Columbidae,Columbiformes,AVIBASE-E981792A,5,2,3,0,4,15.1,10.2,3.1,3.4,16.7,86.6,20.5,64.5,24.0,61.6,50.1,Dunning,NA,NO,NA,NA,Human Modified,3,1,Herbivore,Granivore,Terrestrial,-20.21,3.00,-8.14,-77.44,334307.94
727,Columbina cyanopis,Columbidae,Columbiformes,AVIBASE-C6FA453A,3,1,2,0,1,10.6,6.0,2.4,2.5,15.2,67.5,13.0,53.0,19.7,64.0,45.6,EltonTraits_GenAvg,NA,NO,NA,NA,Grassland,2,1,Herbivore,Granivore,Terrestrial,-17.17,-16.82,-17.00,-43.04,552.52
719,Columbina inca,Columbidae,Columbiformes,AVIBASE-BFE74235,10,4,5,1,4,16.1,7.1,3.5,3.8,15.5,92.5,24.2,69.0,26.0,88.7,47.5,Dunning,NA,NO,NA,NA,Human Modified,3,1,Herbivore,Granivore,Terrestrial,8.71,36.86,26.18,-102.15,2760667.85
722,Columbina minuta,Columbidae,Columbiformes,AVIBASE-37691FA2,26,7,9,10,4,12.4,7.1,2.4,3.0,15.5,76.0,14.8,64.6,18.7,52.4,32.6,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Granivore,Terrestrial,-28.07,20.11,-8.23,-55.16,7050160.84
721,Columbina passerina,Columbidae,Columbiformes,AVIBASE-F9AED548,18,10,7,1,4,13.9,8.2,2.5,3.2,15.2,81.6,21.6,63.6,25.4,59.6,35.4,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Omnivore,Terrestrial,-19.03,35.29,8.64,-71.22,7241733.36
725,Columbina picui,Columbidae,Columbiformes,AVIBASE-C5E145EC,10,4,5,1,3,15.0,8.8,3.2,4.2,13.5,87.9,17.8,70.5,20.1,72.2,47.0,Dunning,NA,NO,NA,NA,Human Modified,3,3,Herbivore,Granivore,Terrestrial,-43.46,-2.73,-23.34,-58.64,5736046.33
