Sequence,Species1,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
858,Ducula chalconota,Columbidae,Columbiformes,AVIBASE-1A397CE8,5,2,2,1,4,27.0,13.3,6.1,5.4,32.5,211.8,55.5,157.5,26.0,144.8,502.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-10.21,-0.44,-5.27,141.80,165349.32
875,Ducula cineracea,Columbidae,Columbiformes,AVIBASE-29227A7D,4,1,0,3,4,27.6,11.3,5.3,5.6,29.4,214.8,59.6,155.2,27.8,149.8,507.2,EltonTraits_GenAvg,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-10.06,-7.63,-8.94,125.36,3484.29
846,Ducula concinna,Columbidae,Columbiformes,AVIBASE-D3D367E9,5,2,3,0,4,31.4,17.0,8.1,8.2,35.6,276.4,89.0,189.0,32.0,172.6,804.7,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-8.35,4.55,-5.26,129.98,10909.95
872,Ducula cuprea,Columbidae,Columbiformes,AVIBASE-A938A06D,3,2,1,0,3,24.7,16.7,8.0,7.2,26.2,227.9,60.9,167.0,26.7,156.5,486.0,DataFromSplit,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,8.20,16.16,11.77,75.98,75660.33
857,Ducula finschii,Columbidae,Columbiformes,AVIBASE-CEA2177E,4,2,2,0,4,25.0,14.8,6.1,6.4,28.4,201.1,59.7,141.3,29.6,120.8,343.9,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-6.29,-2.34,-5.08,150.91,38730.12
838,Ducula forsteni,Columbidae,Columbiformes,AVIBASE-E137A724,5,1,1,3,4,28.4,14.2,6.1,6.8,33.2,240.4,68.5,169.2,28.8,181.2,510.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-5.70,1.76,-1.67,121.29,145694.29
850,Ducula galeata,Columbidae,Columbiformes,AVIBASE-2B8F92F2,4,2,1,1,4,45.5,18.6,8.6,8.6,45.1,294.2,95.9,198.4,32.8,199.2,605.0,Updated_literature,Dunning (2021),NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-8.94,-8.85,-8.88,-140.13,32.52
853,Ducula geelvinkiana,Columbidae,Columbiformes,AVIBASE-5866B8A1,3,1,2,0,3,29.8,18.3,9.5,9.2,32.1,241.5,79.1,162.5,32.8,132.7,535.0,DataFromSplit,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-1.53,-0.63,-0.96,135.76,2953.00
866,Ducula goliath,Columbidae,Columbiformes,AVIBASE-C9742D0B,4,1,3,0,4,40.8,19.8,7.4,7.4,39.4,293.2,83.7,209.6,28.5,197.0,600.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-22.70,-20.09,-21.34,165.50,16547.11
874,Ducula lacernulata,Columbidae,Columbiformes,AVIBASE-DE801C89,4,2,0,2,4,29.6,14.3,6.6,6.2,28.2,208.0,53.7,154.3,25.8,148.5,150.0,EltonTraits_Model,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-9.11,-6.45,-7.93,113.78,68766.83
863,Ducula latrans,Columbidae,Columbiformes,AVIBASE-F834A4DD,4,2,2,0,4,35.3,16.7,6.6,6.1,32.2,230.8,66.9,163.8,29.0,158.3,365.1,EltonTraits_Model,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-19.20,-15.71,-17.44,165.34,18045.38
879,Ducula luctuosa,Columbidae,Columbiformes,AVIBASE-86B2EAA5,5,2,1,2,2,30.8,17.4,7.1,7.2,31.4,242.4,74.4,166.1,31.0,157.9,410.0,Updated_literature,Dunning (2021),NO,NA,NA,Woodland,2,1,Herbivore,Frugivore,Insessorial,-5.70,1.88,-2.02,121.20,145005.34
869,Ducula melanochroa,Columbidae,Columbiformes,AVIBASE-231207AB,3,1,2,0,3,29.3,16.9,7.7,7.4,33.5,243.0,77.1,165.9,31.7,158.0,665.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-6.29,-2.70,-5.19,150.92,36132.41
839,Ducula mindorensis,Columbidae,Columbiformes,AVIBASE-A9994B26,2,0,1,1,2,24.9,13.6,7.6,6.6,30.9,230.0,63.5,166.4,27.6,164.7,507.2,EltonTraits_GenAvg,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,12.55,13.47,13.06,121.06,1211.40
870,Ducula mullerii,Columbidae,Columbiformes,AVIBASE-03BCD297,6,3,2,1,5,28.4,15.7,7.8,7.2,31.1,233.0,63.4,170.8,27.1,138.2,574.9,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-9.33,-1.47,-6.35,140.66,281060.32
