city_id,city_name,jetz_scientific_name,present_in_city
1,Honolulu,Stigmatopelia_chinensis,false
514,Cali,Columbina_passerina,false
514,Cali,Columbina_talpacoti,true
514,Cali,Geotrygon_montana,false
514,Cali,Claravis_mondetoura,false
514,Cali,Leptotila_plumbeiceps,false
514,Cali,Leptotila_verreauxi,false
514,Cali,Patagioenas_fasciata,false
514,Cali,Patagioenas_cayennensis,false
514,Cali,Patagioenas_subvinacea,false
514,Cali,Zenaida_auriculata,true
514,Cali,Geotrygon_frenata,false
1027,Boston,Zenaida_macroura,true
4355,Beirut,Columba_livia,true
4355,Beirut,Stigmatopelia_senegalensis,false
6660,Jalandhar,Columba_livia,true
6660,Jalandhar,Streptopelia_decaocto,true
6660,Jalandhar,Streptopelia_tranquebarica,false
6660,Jalandhar,Treron_phoenicopterus,true
6660,Jalandhar,Stigmatopelia_chinensis,false
6660,Jalandhar,Stigmatopelia_senegalensis,false
2054,Paris,Columba_livia,true
2054,Paris,Streptopelia_decaocto,true
2054,Paris,Columba_oenas,true
2054,Paris,Columba_palumbus,true
4358,Antakya,Columba_livia,true
4358,Antakya,Streptopelia_decaocto,true
4358,Antakya,Columba_palumbus,false
5894,Doha,Streptopelia_decaocto,true
5894,Doha,Stigmatopelia_senegalensis,false
775,Detroit,Zenaida_macroura,true
3079,Bratislava,Columba_livia,true
3079,Bratislava,Streptopelia_decaocto,true
8,Oxnard,Columbina_passerina,false
8,Oxnard,Patagioenas_fasciata,true
8,Oxnard,Zenaida_macroura,true
3593,Odesa,Columba_livia,true
3593,Odesa,Streptopelia_decaocto,true
10,San Jose,Patagioenas_fasciata,false
10,San Jose,Zenaida_macroura,true
266,Colorado Springs,Zenaida_macroura,true
2570,Milan,Columba_livia,true
2570,Milan,Streptopelia_decaocto,true
2570,Milan,Columba_palumbus,true
1291,Sorocaba,Claravis_pretiosa,false
1291,Sorocaba,Columbina_talpacoti,true
1291,Sorocaba,Geotrygon_montana,false
1291,Sorocaba,Claravis_godefrida,false
1291,Sorocaba,Columbina_minuta,false
1291,Sorocaba,Columbina_squammata,false
1291,Sorocaba,Leptotila_rufaxilla,false
1291,Sorocaba,Leptotila_verreauxi,true
1291,Sorocaba,Patagioenas_cayennensis,false
1291,Sorocaba,Patagioenas_picazuro,true
1291,Sorocaba,Patagioenas_plumbea,false
